,3,4,5,6,7,8,9,10,11,12,13,14
1,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654
100,0.6483,0.6488,0.6495,0.6499,0.6505,0.6503,0.6509,0.651,0.6511,0.6518,0.6515,0.6521
1000,0.593,0.6002,0.608,0.6126,0.6168,0.6203,0.6231,0.6244,0.626,0.6283,0.6296,0.6304
10000,0.1692,0.2016,0.2341,0.2656,0.2943,0.3241,0.3426,0.3628,0.3768,0.39200000000000007,0.4078,0.4217
20000,0.0478,0.0531,0.0635,0.0745,0.0873,0.1012,0.1191,0.1315,0.1592,0.1741,0.1919,0.2053
30000,0.0219,0.0203,0.0185,0.0197,0.0267,0.0306,0.0369,0.0423,0.0491,0.058600000000000006,0.0669,0.0779
